idx,m,a,b,n1,n2,n3,invert,vsplit,hsplit,periodicity,pixel_error,attempts
202,7,0.9789478497860721,0.7939426167368274,5.608818071361961,2.1878941955166216,0.5721240855627446,0,0,0,210,0.0,1
812,3,0.8524025204846465,0.6330088189878992,4.535561586881517,0.669081152481827,3.1517669907854846,0,0,0,210,0.0004,6
21,8,0.3960960408558414,0.817441652384651,4.373339676759895,3.448591031591727,3.710975308873063,0,0,0,230,0.0,1
162,9,0.9397507861873756,0.7349094007228043,4.897787954143982,1.992200364439139,5.173812499628739,0,0,0,230,0.0,1
774,10,0.8617403099258681,0.8667570585157861,1.0310947258198133,2.260126066393161,0.9100523102939158,1,0,0,270,0.0,1
722,8,0.9575675486049477,0.5306361815940844,4.806510202701813,3.3679580501178727,1.5496267659914988,0,1,1,260,0.0,1
628,1,0.8148151882893542,0.44685243644078143,5.27805443594987,3.6744239439124997,3.2101130528954798,0,0,0,210,0.0,4
725,8,0.7551013030752652,0.6424374516573058,5.620389983684128,5.479493276204874,3.12865524234977,1,0,0,240,0.0,2
909,8,0.5378756194018677,0.8815100055223805,4.428755786944256,2.5864405780542343,3.8250084847986754,1,0,0,250,0.0,1
315,2,0.9235653729821184,0.8219026107682289,4.394337879341853,0.9947315103821677,2.6979439508268843,1,0,1,210,0.0,1
474,7,0.5799997714059091,0.7294247180870578,0.818344317147443,5.460770781276404,5.182766420298263,1,0,0,230,0.0,4
646,10,1.0976580179332422,0.7554549786748392,2.113675448086275,2.258162811945701,3.6156108530056987,0,1,1,210,0.0,1
873,11,0.8631961656885927,0.7325153239253976,1.145786104987429,2.8221140025881453,3.73844236093497,0,0,0,220,0.0,1
789,8,0.780731321219846,0.5027254334584289,2.2481926195765594,2.0289511781336005,3.6889654391820206,1,0,0,300,0.0,1
163,3,0.891476192915403,0.9572559180060243,1.6796429621698552,5.561296226593537,2.417099989019574,1,1,0,300,0.0,2
209,11,1.025066968400884,0.8945944814544061,5.724459170713336,5.8226023466634205,5.044631164557915,0,0,1,200,0.0,2
203,1,0.3459004356824569,1.0097289312916622,2.475832595557591,4.898775108053461,5.313787846110433,1,0,0,260,0.0,1
140,3,1.0471756857298633,0.30023100666536645,3.604862945620184,2.0842927715952597,3.5354834443566157,1,0,0,250,0.0,1
383,5,0.6273127306229739,0.6206476859120718,4.905106544248517,4.939451976948715,0.739427581017818,0,0,0,270,0.0,2
43,2,0.3843139179418202,0.5670904795013884,0.6414987595682498,4.159194784455248,4.529052747607447,0,0,1,230,0.0,2
280,5,0.4394793947919308,0.3245816651030021,4.608019565029536,2.0061214259078555,4.959480643343951,1,0,0,230,0.0,1
662,11,1.0439326907114581,0.504583658797997,4.75405701286365,0.9697596813004309,1.8876929593619962,1,0,0,210,0.0002,6
503,4,0.5111249064256337,0.8120350545991574,3.5201032471154012,3.2336766760002496,4.710155279908646,1,0,0,200,0.0,1
753,11,0.943979490883523,0.6294743209209394,3.3336260137659215,3.8052134300941147,3.2387555737052343,0,0,0,300,0.0,2
85,8,0.530924574018581,1.0548024154451174,1.5854597445037963,1.7481663230925566,2.814802271393404,1,0,0,230,0.0,1
470,10,0.669347350395164,0.7502443820084967,3.729485151254706,0.4655235850459283,3.443965132191028,1,0,0,280,0.0,2
326,10,0.9985496433522854,1.0055268488377924,0.5727372222399043,3.1930630974380287,5.483618855073557,1,0,0,230,0.0,1
885,7,0.3620881680064847,0.4029964109599862,0.4871722420059552,5.621874097839312,0.8552908364476384,1,0,1,300,0.0,3
124,3,0.7705144895136844,0.44352267756843045,2.2128066270929705,2.270505822700788,2.9886154565130254,1,0,0,250,0.0,2
211,3,0.7871763579497484,1.114537173025121,4.444520817502819,1.3710693228580115,0.9864848317365154,0,0,0,280,0.0,1
38,10,1.145385654440786,0.5686359741700432,0.41293029656709596,3.31816286857924,3.4828997656543157,1,0,0,200,0.0012,6
192,5,0.7046682186939464,0.8140021399405487,5.199401285698029,1.588613388720098,3.508514074715568,0,0,0,260,0.0,1
741,7,0.5726259802319404,0.9603150153973752,4.960088521560053,4.038977611857562,2.4280127012285377,1,0,1,230,0.0,5
504,5,0.9613926728297139,0.26807538620076715,5.137583481125103,1.0451884699856835,5.4114817024118995,0,1,0,260,0.0,1
799,6,0.47734183981743716,1.0164820643362389,1.9879594616734717,1.4065894517739823,1.2192360556444124,1,0,0,230,0.0,5
519,5,0.6014539214506691,0.9156005342161262,5.23295117841392,1.209905832549657,4.162958962620336,0,0,0,220,0.0,4
706,9,0.8010476816485088,0.40602750866752235,3.0586930540273776,4.068128522103093,5.547121802508567,1,0,0,270,0.0,1
879,6,0.5699431973723322,0.842111655412858,3.3787319984979494,5.699251897183482,2.011648988069873,0,0,0,250,0.0,1
777,10,0.5644229456520317,0.7125433031091712,2.1772071774082384,4.442247954406476,0.844488840574731,0,1,1,220,0.0,1
605,9,0.5877914539226057,0.9434851844838928,4.82947828382248,4.487596825352214,3.988365474864356,0,0,0,280,0.0,1
14,11,0.9611361933005769,0.3318117853840105,5.248678517715691,3.020614834176247,4.54126824320042,0,1,0,240,0.0,1
67,2,0.5123501694224436,1.1586206888541752,0.9938584740570934,4.58818039188638,2.002271122733171,0,0,0,210,0.0,1
691,4,0.5577583384125827,0.7913323606501683,0.39966057467829,5.240483560469594,0.9209461871617259,1,1,1,210,0.0,2
848,6,0.9155550528520052,1.160436807811058,5.695995842390845,1.052313198495159,2.4429414151609476,1,0,0,290,0.0,6
137,10,0.5680473244751495,0.9768048988954344,5.582861538506967,3.9066285563083323,1.9688991824033744,0,0,1,230,0.0,3
756,1,0.9329493755844662,0.39833760344451374,4.269523639008641,1.7558844152615825,1.4398024776370628,1,0,0,280,0.0,1
17,11,0.42892324947018595,0.7186940391834188,0.5401040711481238,3.8876880149292377,0.9038614802240675,0,0,0,280,0.0004,6
661,8,0.3291123703083508,0.9864811717908347,1.4637141971263956,2.549417201782486,3.0003726894229743,0,0,1,240,0.0,1
513,11,0.9887127719657467,0.7763865753825534,1.764389171863197,4.048813784326395,3.029938219700696,0,0,0,200,0.0,1
738,9,1.0171209658675868,0.7205964061112918,5.563286713626991,3.6416755511077765,1.270165574103378,0,0,0,270,0.0,4
